Volt,Intensity,I
-0.65,20,-2.35018E-05
-0.6,20,-2.03673E-05
-0.55,20,-1.88058E-05
-0.5,20,-1.58017E-05
-0.45,20,-1.44237E-05
-0.4,20,-1.1678E-05
-0.35,20,-1.03283E-05
-0.3,20,-7.93368E-06
-0.25,20,-6.79885E-06
-0.2,20,-5.6709E-06
-0.15,20,-3.61077E-06
-0.1,20,-2.6026E-06
-0.05,20,-6.35614E-07
0.05,20,2.0128E-06
0.1,20,2.84147E-06
0.15,20,4.55619E-06
0.2,20,5.40027E-06
0.25,20,7.10725E-06
0.3,20,7.92597E-06
0.35,20,9.66932E-06
0.4,20,1.05404E-05
0.45,20,1.2392E-05
0.5,20,1.32789E-05
0.55,20,1.50449E-05
0.6,20,1.60243E-05
0.65,20,1.70342E-05
0.7,20,1.90673E-05
0.75,20,2.02446E-05
0.8,20,2.26627E-05
0.85,20,2.39361E-05
0.9,20,2.67822E-05
0.95,20,2.83786E-05
1,20,3.17897E-05
1.05,20,3.37718E-05
1.1,20,3.77926E-05
1.15,20,4.01636E-05
1.2,20,4.49716E-05
1.25,20,4.77802E-05
1.3,20,5.35788E-05
1.35,20,5.70223E-05
1.4,20,6.39438E-05
1.45,20,6.80831E-05
1.5,20,7.24627E-05
1.55,20,8.13187E-05
1.6,20,8.64037E-05
1.65,20,9.65084E-05
1.7,20,0.000102456
1.75,20,0.000113469
1.8,20,0.000120748
1.85,20,0.000132975
1.9,20,0.00014092
1.95,20,0.000156525
2,20,0.000164498
2.05,20,0.000180651
2.1,20,0.000191094
2.15,20,0.000207773
2.2,20,0.000216176
2.25,20,0.000236584
2.3,20,0.000249121
2.35,20,0.000269165
2.4,20,0.000282427
2.45,20,0.000294189
2.5,20,0.000317183
2.55,20,0.000331357
2.6,20,0.000354574
2.65,20,0.000369789
2.7,20,0.000395382
2.75,20,0.000411611
2.8,20,0.000438314
2.85,20,0.000452582
2.9,20,0.000482165
2.95,20,0.000497041
3,20,0.000526015
3.05,20,0.000544318
3.1,20,0.000574254
3.15,20,0.000591411
3.2,20,0.000621469
3.25,20,0.000638925
3.3,20,0.000658017
3.35,20,0.000688692
3.4,20,0.000707616
-3.5,35,-0.000240874
-3.45,35,-0.000232702
-3.4,35,-0.000230107
-3.35,35,-0.000225353
-3.3,35,-0.000223041
-3.25,35,-0.0002182
-3.2,35,-0.000215924
-3.15,35,-0.000210318
-3.1,35,-0.00020859
-3.05,35,-0.000203208
-3,35,-0.000201025
-2.95,35,-0.00019582
-2.9,35,-0.000192799
-2.85,35,-0.000187189
-2.8,35,-0.000184401
-2.75,35,-0.000182268
-2.7,35,-0.00017667
-2.65,35,-0.000174488
-2.6,35,-0.000169211
-2.55,35,-0.000166459
-2.5,35,-0.000161183
-2.45,35,-0.000158596
-2.4,35,-0.000152903
-2.35,35,-0.000150689
-2.3,35,-0.000145048
-2.25,35,-0.000142461
-2.2,35,-0.00013744
-2.15,35,-0.000134929
-2.1,35,-0.000129872
-2.05,35,-0.00012719
-2,35,-0.000121941
-1.95,35,-0.000119504
-1.9,35,-0.00011696
-1.85,35,-0.000111467
-1.8,35,-0.000108167
-1.75,35,-0.000102798
-1.7,35,-0.000100708
-1.65,35,-9.55135E-05
-1.6,35,-9.31212E-05
-1.55,35,-8.81133E-05
-1.5,35,-8.56346E-05
-1.45,35,-8.048E-05
-1.4,35,-7.81955E-05
-1.35,35,-7.33021E-05
-1.3,35,-7.08431E-05
-1.25,35,-6.60448E-05
-1.2,35,-6.37276E-05
-1.15,35,-5.88831E-05
-1.1,35,-5.65746E-05
-1.05,35,-5.44289E-05
-1,35,-4.98234E-05
-0.95,35,-4.76255E-05
-0.9,35,-4.3159E-05
-0.85,35,-4.1117E-05
-0.8,35,-3.68366E-05
-0.75,35,-3.4709E-05
-0.7,35,-3.07495E-05
-0.65,35,-2.87581E-05
-0.6,35,-2.49424E-05
-0.55,35,-2.30905E-05
-0.5,35,-1.94747E-05
-0.45,35,-1.78187E-05
-0.4,35,-1.44922E-05
-0.35,35,-1.28498E-05
-0.3,35,-9.92807E-06
-0.25,35,-8.54553E-06
-0.2,35,-7.18428E-06
-0.15,35,-4.707E-06
-0.1,35,-3.51519E-06
-0.05,35,-1.18673E-06
0.05,35,1.92202E-06
0.1,35,2.87929E-06
0.15,35,4.85803E-06
0.2,35,5.8823E-06
0.25,35,7.82568E-06
0.3,35,8.78034E-06
0.35,35,1.08161E-05
0.4,35,1.18429E-05
0.45,35,1.39923E-05
0.5,35,1.50465E-05
0.55,35,1.73308E-05
0.6,35,1.85765E-05
0.65,35,1.9803E-05
0.7,35,2.24836E-05
0.75,35,2.39465E-05
0.8,35,2.69116E-05
0.85,35,2.85979E-05
0.9,35,3.21109E-05
0.95,35,3.42314E-05
1,35,3.86519E-05
1.05,35,4.09938E-05
1.1,35,4.61341E-05
1.15,35,4.92341E-05
1.2,35,5.50705E-05
1.25,35,5.89024E-05
1.3,35,6.63027E-05
1.35,35,7.07852E-05
1.4,35,7.92441E-05
1.45,35,8.46496E-05
1.5,35,9.01376E-05
1.55,35,0.000100682
1.6,35,0.000106881
1.65,35,0.000119639
1.7,35,0.000127154
1.75,35,0.000141284
1.8,35,0.000149702
1.85,35,0.000165019
1.9,35,0.000175515
1.95,35,0.000193683
2,35,0.000203143
2.05,35,0.000221055
2.1,35,0.000234784
2.15,35,0.000255474
2.2,35,0.00026926
2.25,35,0.000292651
2.3,35,0.000305523
2.35,35,0.000332391
2.4,35,0.000347006
2.45,35,0.000362099
2.5,35,0.000388389
2.55,35,0.000405609
2.6,35,0.000435211
2.65,35,0.000451385
2.7,35,0.000482442
2.75,35,0.000498905
2.8,35,0.000532567
2.85,35,0.000551143
2.9,35,0.000585777
2.95,35,0.00060348
3,35,0.000638829
3.05,35,0.000660896
3.1,35,0.000694957
3.15,35,0.000715762
3.2,35,0.000752524
3.25,35,0.00077515
3.3,35,0.000797431
3.35,35,0.00083376
3.4,35,0.000856127
-3.5,50,-0.000277058
-3.45,50,-0.000270549
-3.4,50,-0.00026817
-3.35,50,-0.000261745
-3.3,50,-0.000259639
-3.25,50,-0.000254115
-3.2,50,-0.000250822
-3.15,50,-0.000244777
-3.1,50,-0.000241974
-3.05,50,-0.000235681
-3,50,-0.000233213
-2.95,50,-0.000226678
-2.9,50,-0.000224214
-2.85,50,-0.000218117
-2.8,50,-0.000214999
-2.75,50,-0.000212219
-2.7,50,-0.000206112
-2.65,50,-0.000203026
-2.6,50,-0.000196882
-2.55,50,-0.000193752
-2.5,50,-0.000187096
-2.45,50,-0.000184075
-2.4,50,-0.000177898
-2.35,50,-0.000174923
-2.3,50,-0.00016873
-2.25,50,-0.000165704
-2.2,50,-0.000159667
-2.15,50,-0.000156718
-2.1,50,-0.000150287
-2.05,50,-0.000147693
-2,50,-0.000141203
-1.95,50,-0.00013855
-1.9,50,-0.000135633
-1.85,50,-0.000129315
-1.8,50,-0.000126857
-1.75,50,-0.000120435
-1.7,50,-0.000117736
-1.65,50,-0.000111516
-1.6,50,-0.000108998
-1.55,50,-0.000103054
-1.5,50,-0.000100432
-1.45,50,-9.44314E-05
-1.4,50,-9.18964E-05
-1.35,50,-8.62759E-05
-1.3,50,-8.36495E-05
-1.25,50,-7.77131E-05
-1.2,50,-7.4992E-05
-1.15,50,-6.93483E-05
-1.1,50,-6.67222E-05
-1.05,50,-6.40263E-05
-1,50,-5.87862E-05
-0.95,50,-5.61839E-05
-0.9,50,-5.10694E-05
-0.85,50,-4.87175E-05
-0.8,50,-4.37173E-05
-0.75,50,-4.12978E-05
-0.7,50,-3.65867E-05
-0.65,50,-3.41423E-05
-0.6,50,-2.96462E-05
-0.55,50,-2.7412E-05
-0.5,50,-2.3158E-05
-0.45,50,-2.12361E-05
-0.4,50,-1.73126E-05
-0.35,50,-1.53924E-05
-0.3,50,-1.19373E-05
-0.25,50,-1.03003E-05
-0.2,50,-8.69274E-06
-0.15,50,-5.75691E-06
