,loss,mse,mae,r_square,val_loss,val_mse,val_mae,val_r_square
0,0.0002732622670009732,0.0002732622670009732,0.011035245843231678,-3237.04541015625,3.76317766495049e-05,3.76317766495049e-05,0.004903596825897694,-747.0599975585938
1,2.0046318240929395e-05,2.0046318240929395e-05,0.003263265360146761,-266.2413024902344,6.553204457304673e-06,6.553204457304673e-06,0.0020429014693945646,-149.54742431640625
2,5.185829195397673e-06,5.185829195397673e-06,0.0016907479148358107,-60.444393157958984,3.938250301871449e-06,3.938250301871449e-06,0.0015755733475089073,-91.23676300048828
3,2.8965575893380446e-06,2.8965575893380446e-06,0.0012572610285133123,-37.47400665283203,2.1906544134253636e-06,2.1906544134253636e-06,0.0011778402840718627,-52.2015380859375
4,1.9328792859596433e-06,1.9328792859596433e-06,0.0010170097230002284,-27.845247268676758,1.6585281628067605e-06,1.6585281628067605e-06,0.0009719879017211497,-39.53968811035156
5,1.4133171362118446e-06,1.4133171362118446e-06,0.0008456751238554716,-16.761680603027344,1.1346502333253738e-06,1.1346502333253738e-06,0.0007748069474473596,-27.424074172973633
6,1.117749320656003e-06,1.117749320656003e-06,0.0007397161098197103,-12.7018404006958,9.920638603944099e-07,9.920638603944099e-07,0.0007145561394281685,-22.562255859375
7,9.032283969645505e-07,9.032283969645505e-07,0.0006482741446234286,-10.0657958984375,8.153359090101731e-07,8.153359090101731e-07,0.0006106345681473613,-17.876079559326172
8,7.539354101027129e-07,7.539354101027129e-07,0.00059369025984779,-9.156803131103516,6.322339345388173e-07,6.322339345388173e-07,0.000497920555062592,-13.335541725158691
9,6.115528776717838e-07,6.115528776717838e-07,0.0005003206897526979,-8.09157943725586,5.327186727299704e-07,5.327186727299704e-07,0.00045416763168759644,-10.55875301361084
10,5.392059279074601e-07,5.392059279074601e-07,0.00046478494186885655,-6.1877241134643555,4.97624171202915e-07,4.97624171202915e-07,0.00040352754876948893,-9.91069507598877
